evt_date,Curve,Bridge,Aave,Compound,Treasury,Other,Uniswap,Balancer,Sushiswap,Bancor,Yearn,dydx
2022-06-28 00:00,215804772.6579798,572504904.1761353,153756073.90690163,273041230.9320076,37805225.19186702,278915972.73687774,783036672.0857687,20506174.385247774,45523991.602138825,8861768.144574527,731258.7191386507,4021510.629613199
2022-06-29 00:00,221029597.94616228,569739163.0527267,155081797.43681923,281499791.48659325,37805225.19186702,278915972.73687774,779052874.5739286,15047265.557720928,45160714.34472333,8014442.409944895,731258.7191386507,4021249.0972613245
2022-06-30 00:00,211316022.20935273,561361149.2388355,163119946.98700958,293229920.90599746,37798177.977526635,278915972.73687774,781230028.1711373,21454761.933336727,45009825.408368506,6597530.545421212,714882.1193163006,4021249.0972613245
2022-07-01 00:00,211280339.7806009,567201680.5025587,184678952.91280073,324481434.83052105,37720291.767591745,278915972.73687774,813637575.5610787,25765035.726757806,45068060.01949937,6518914.88425534,714882.1193163006,4021249.0972613245
2022-07-02 00:00,209921167.84744844,566129205.3196579,193709784.60304406,329626141.53415626,37660968.16979202,278915972.73687774,789942067.3072078,25586331.166848056,45201967.25945157,6281963.590746346,714741.6002412224,4019359.6746228035
2022-07-03 00:00,212894503.95446596,567166352.0543598,193861280.00339195,327029985.9018131,37660968.16979202,278915972.73687774,815625744.1787664,26052999.216247916,45333975.80399058,6263157.047987477,714727.7760250715,4019108.190302137
2022-07-04 00:00,212109114.87886932,566061767.2304808,202903415.29773808,369008875.3668469,37660968.17107512,278915972.73687774,824097853.0789307,26449894.69539321,45704445.39835878,6292644.927242029,714727.7760250715,4018831.0094714663
2022-07-05 00:00,212730025.4931012,573593130.2254407,200481224.78902936,378789023.101225,37660968.17107512,278915972.73687774,844654114.5701807,27449854.951465756,45639291.000730574,6182694.904695832,713676.0048542578,4018620.180067545
2022-07-06 00:00,224530911.05510122,550788904.2437886,200179508.32318056,368508946.13290876,37660968.17107512,278915972.73687774,845324200.1735644,19107281.818799485,45966049.44708633,6200186.016198815,713428.9288378402,4018620.180067545
2022-07-07 00:00,241335302.13128382,333403266.99869895,204886705.06057972,368477941.9828276,35910972.51163068,278915972.73687774,810458900.8518001,20545025.495201416,45989871.669127285,6271540.991677623,709344.9254162585,4018504.934168228
