evt_date,Curve,Bridge,Aave,Compound,Treasury,Other,Uniswap,Balancer,Sushiswap,Bancor,Yearn
2022-08-28 00:00,301011340.005175,3685268179.257527,1028298536.676524,651605312.968197,381521259.230625,191451576.868733,6075226233.929453,24190354.147712,27732622.546463,618111.973901,
2022-08-29 00:00,313639349.887282,3669296636.265747,1029169513.011617,665895655.275926,380721259.230625,191518779.264478,6179189393.701746,25588022.871798,28955109.809402,631932.744768,
2022-08-30 00:00,321556186.019141,3620241736.826667,1047135520.878103,658941758.727071,380721258.230625,188028343.837073,6208902459.232432,28502697.753698,27107986.401012,626361.24489,
2022-08-31 00:00,320522196.589699,3632170689.370391,1123971530.526975,640565895.993491,370721258.230625,189303522.14051,6164152043.409539,28272383.170509,27370361.419421,632662.847844,
2022-09-01 00:00,316063795.345542,3635465285.587708,1125937053.152455,639423653.370339,370721258.230625,188539302.436109,6194967670.652661,29865763.571983,27686839.390495,635138.706971,
2022-09-02 00:00,328592984.90227,3650204483.6884,1103277914.01085,633897002.579898,370721258.230625,187037624.84045,6192579629.440436,30203341.064714,27615650.320634,636334.182798,
2022-09-03 00:00,347841815.6989,3647630076.273731,1099167393.105699,636665797.062287,370721258.230625,186813813.260619,6180863463.827031,31398100.022832,27189015.943361,630071.588697,
2022-09-04 00:00,332025742.128315,3648806677.27795,1156939622.534383,636761353.060325,370721258.230625,187003071.740808,6170153464.205396,30215403.986839,27341333.605957,636761.724589,
2022-09-05 00:00,286286740.540456,3651785605.808381,1206329184.342881,645754287.876169,370721258.230625,186668048.033803,6166584047.166873,30018093.738187,27489447.705476,640839.459632,
2022-09-06 00:00,299755491.109898,3655234592.948802,1294372387.046629,646523234.48326,370721258.230625,187309808.491024,6134410599.870837,27988317.268682,26950811.778331,626860.029464,
2022-09-07 00:00,298340994.895914,3656248673.218196,1272745055.269975,676289558.089914,370721258.230625,194661359.02879,6115852108.156811,30020162.923394,25094442.744951,637236.074147,
2022-09-08 00:00,299962538.635393,3664301268.371477,1273265697.489228,681957213.161846,365721258.230625,193293128.868204,6134626815.180953,31190654.432287,25067586.410348,646001.351007,
2022-09-09 00:00,327478026.850141,3667584956.513314,1272172559.494792,721052971.402266,365721354.230625,194833672.869257,6197126515.821814,31594337.285145,25381147.243822,661417.12449,
2022-09-10 00:00,341357949.96082,3675416370.357389,1298255452.101656,697003648.981135,365721354.230625,194187335.437382,6224427063.840591,32062256.234287,25334055.147992,664038.03459,
