evt_date,compound,other,uniswap,aave,bridge,curve,bancor,treasury,balancer,sushiswap,dydx,yearn,total
2022-11-11 00:00,285466741.6367792,599878895.0654507,1927523715.660141,70140665.8955841,406006903.1249824,106789000.77126554,4650037.9297007825,28698314.66765898,34481523.69873916,50914924.569662586,1619777.8873012785,1053466.4957497856,3517223967.4030156
2022-11-12 00:00,281860841.96620077,599897670.1807998,1928798894.8871431,68212083.08065003,407175180.5951576,120490501.35488336,4564140.801526523,28441183.144798614,36476318.918552354,50846138.50096578,1619777.8873012785,1181482.3970543959,3529564213.7150335
2022-11-13 00:00,281775087.1432291,599873515.9744575,1928469995.5528932,65873234.11831826,405273522.1696744,119903896.35901286,4493853.484853248,28307393.06146242,35816117.84191637,50798649.26782253,1619777.8873012785,1182482.3970543959,3523387525.2579956
2022-11-14 00:00,264058692.39897168,599879708.0215025,1931509197.8688447,79381466.76670696,390295241.78832436,118062194.18908879,4510405.210710814,28242554.14558784,35210884.248729914,50894973.07201829,1619777.8873012785,1182429.927557031,3504847525.5253444
2022-11-15 00:00,261209065.9058334,599874707.7310346,1939669166.780071,80791758.7283148,390362949.71677613,128205576.372761,4542077.365860815,28242554.14558784,36435977.12786028,50947676.07892652,1619777.8873012785,1182429.927557031,3523083717.7678847
2022-11-16 00:00,265015871.08227265,599574707.3557394,1941554982.1144896,71947200.76696171,392477135.7547003,149775324.46285787,4487440.749117508,27998028.796747938,38777190.20026885,49845853.602230586,1619777.8873012785,1281166.9999364857,3544354679.772624
2022-11-17 00:00,264604566.32780796,599425754.2314367,1933555464.5941613,110204525.24923703,392753649.0970268,148990567.00280803,4500810.716288044,27673648.635559052,38484547.31872659,49842325.18228585,1619777.8873012785,1276482.3851211022,3572932118.62776
2022-11-18 00:00,262569703.59745014,599430414.7835628,1931595322.48526,109216598.32353266,392308781.3025924,134296308.3052876,4482122.067683437,27673648.635559052,36323597.7383905,49869055.24948134,1619777.8873012785,1276482.3851211022,3550661812.7612224
2022-11-19 00:00,258562975.842087,599326417.5934515,1931961196.987337,109077576.72332095,392488497.6606008,144593469.29402286,4502038.514398853,27673648.635559052,36711664.30386174,49898520.91995021,1619777.8873012785,1276482.3851221022,3557692266.7470136
2022-11-20 00:00,258114195.64161295,600251238.670227,1926537995.0241232,107727076.64367571,392016520.829059,131323092.80647394,4402783.265466465,27678316.95039778,34889080.83460018,49811854.49996168,1619777.8873012785,1370892.1371865273,3535742825.190086
2022-11-21 00:00,236284104.3736487,600238114.5340933,1928174784.2046611,112323320.8569976,389994529.1855172,142854417.0891729,4367637.714595316,27678316.95039778,35306582.12622762,49771848.9991721,1619777.8873012785,1370892.1371865273,3529984326.0589714
2022-11-22 00:00,233464419.8772975,600111820.994105,1951792648.058755,82315508.41274019,391311176.73347926,143000995.18410206,4437915.271774008,27674316.95039778,34732838.16277845,49475655.68007837,1619777.8873012785,1370892.1371865273,3521307965.349995
2022-11-23 00:00,246317585.900852,598790622.3046193,1808950161.8770254,74447675.00361678,389926256.9000591,148493790.10994244,4516439.932238025,27875025.95039778,36017533.49225872,49552085.5832332,1619777.8873012785,1370892.1371865273,3387877847.0787306
2022-11-24 00:00,249441469.44781974,598830623.3046193,1803402863.089133,78295956.03440098,387133420.0530736,171313112.42769146,4542359.565187387,27875025.95039778,38636979.550640926,49615708.649622895,1619777.8873012785,1368892.8809141647,3412076188.8408027
2022-11-25 00:00,254086900.88435447,598067815.002363,1807100431.9446497,76440474.9324218,388852888.950176,174269764.73681808,4534149.4112768015,27875025.95039778,39088094.78008025,49613076.59025478,1619777.8873012785,1367883.3706501261,3422916284.440744
2022-11-26 00:00,254067571.4738432,597582571.2228763,1809310666.7867358,76434340.75398217,390325230.7710198,182007194.38618776,4579240.460512039,28090183.95039778,39437847.59517148,49616942.747116044,1619777.8873012785,1367883.3706501261,3434439451.4057937
2022-11-27 00:00,256449833.82005805,597598590.7649115,1740792916.2521935,76270954.72172257,390213884.86887664,177832229.87910745,4568402.152121797,28090183.95039778,39794461.68243798,49593741.61774629,1619777.8873012785,1367883.3706501261,3364192860.967525
2022-11-28 00:00,252157091.43157518,597465061.1260852,1740290176.0152576,83703600.37819731,390173890.016682,193495085.1954692,4541859.95064536,27923363.14119055,33152349.27203297,49578655.03873165,1619777.8873012785,1367883.3706501261,3375468792.823818
2022-11-29 00:00,252443887.2028567,597230400.9497052,1737534351.2503405,81736472.64672764,390390222.79951006,200136267.55052105,4592203.94203928,28922861.14119055,32978888.37777586,49668240.72132786,1619777.8873012785,1367883.3706501261,3378621457.8399463
2022-11-30 00:00,248840847.29571602,596714505.103544,1714444410.0423465,78204905.05060154,389352071.1094386,243852731.17170763,4655822.588172113,28968984.14119055,36795701.779478125,49813199.13761604,1619777.8873012785,1367741.9276902515,3394630697.2348027
2022-12-01 00:00,250734292.0556178,597250187.8442372,1712678858.543936,77881184.11227863,391451957.32146835,252292678.04462034,4647721.635592652,28922913.64180684,38811614.658834,49810493.19682832,1619777.8873012785,1367707.794192008,3407469386.7367134
