evt_date,Curve,Bridge,Aave,Compound,Treasury,Other,Uniswap,Balancer,Sushiswap,Bancor,Yearn
2020-10-03 00:00,182715762.269804,8017264.294708,196951807.897965,58077242.31155,,,252234443.447947,,22576709.104197,,42403437.108499
2020-10-04 00:00,182435855.65474,7892312.658577,198687913.126399,58244442.750309,,,253703365.51919,,19762659.337161,,45546326.266847
2020-10-05 00:00,182370418.885688,7406668.783713,156473480.473853,43476755.375073,,,265950998.678452,,19781659.717565,,56432455.624519
2020-10-06 00:00,180130531.129285,6465519.408554,180323810.46081,39507249.295873,,,259786208.481437,,19855338.019181,,21317884.714583
2020-10-07 00:00,180727890.588724,6325342.507677,177344577.42393,40186485.097513,,,259094236.696506,,19528635.405007,,21836.556225
2020-10-08 00:00,180425373.442747,5628689.690678,165598340.811071,40238017.043432,,,264483586.685399,,19747704.813453,,1012506.771483
2020-10-09 00:00,199581125.25867,5834536.938161,128608594.281742,21421393.200504,,,269742849.212036,,19942736.95566,,20373025.648341
2020-10-10 00:00,191854077.786379,6817645.055731,84765157.199625,9730304.805891,,,281187814.38617,,20194462.287342,,3020061.680183
2020-10-11 00:00,184342879.214489,6353872.056653,67081026.518846,7876290.105422,,,317929079.250897,,20098089.978674,,3646542.878919
2020-10-12 00:00,183070848.089677,3738720.860582,63356480.222033,7524156.611696,,,316632670.855967,,19190452.092323,,2404559.169644
2020-10-13 00:00,179475099.234895,3313898.583202,60135724.391796,8623910.695515,,,311676296.617819,,18490826.905073,,1698282.518624
2020-10-14 00:00,152623755.306101,1966453.331741,45742290.878713,7411722.866573,,,310752918.873667,,18300914.984189,,16374319.449037
2020-10-15 00:00,149278883.173435,2143805.942681,49487996.677974,6973325.015721,,,301091585.575258,,12130898.674839,,1478381.01276
2020-10-16 00:00,150611229.781512,1677446.332443,49759695.914885,6066094.193681,,,290781945.827218,,12839713.201065,,4771538.043716
2020-10-17 00:00,158499898.03638,1897150.132422,49205138.79001,6652048.321251,,,291277446.667328,,13348928.629764,,10174790.058651
2020-10-18 00:00,167299290.398733,1839974.608534,50179331.127309,7750699.187239,,,296814818.927132,,15624732.54904,,17136153.911423
2020-10-19 00:00,163436519.850165,1268981.351078,48536986.653612,8358277.322462,,,300558628.60996,,16773439.329011,,20155429.631389
2020-10-20 00:00,160402113.246421,1165382.223697,2432494.260469,3980695.179484,,,299082940.322266,,15087523.328949,,54705441.305884
2020-10-21 00:00,126648600.410096,1165968.753236,20526360.577169,8503713.901943,,,302966712.446091,,15549773.18761,,5504769.403058
2020-10-22 00:00,82976124.485477,1407096.529097,19383710.424745,9705306.602316,,,286265668.035185,,15100565.970099,,6525251.821248
2020-10-23 00:00,83082928.07643,1365359.704114,49650417.23952,6273594.082259,,,284484377.555236,,15024384.552791,,0
2020-10-24 00:00,83952643.588249,1368705.640988,46620698.465192,8099364.377654,,,284189368.08427,,13924503.727669,,4082877.142148
2020-10-25 00:00,82499389.591797,1362716.225568,44070105.654085,9313094.191033,,,281965303.903284,,13780149.387143,,859602.313146
2020-10-26 00:00,66302577.833469,1058231.798121,20954649.036405,6577286.500761,,,289261477.784746,,13366531.706182,,13435218.775885
2020-10-27 00:00,85024918.376659,1101841.197363,13926560.322589,6696532.167782,,,302558952.141321,,14188374.972167,,15949297.228006
2020-10-28 00:00,93640090.532599,1015239.188211,55082262.987574,6571240.224334,,,298058284.550704,,13521566.119395,,80578.771341
2020-10-29 00:00,95278214.636169,1027063.308839,51299216.255431,7081521.902956,,,294601292.634498,,13547365.024535,,2065615.030008
2020-10-30 00:00,91174210.107169,1028452.72889,50052442.105264,6818431.926996,,,294716507.024201,,13617160.329424,,6977.946507
2020-10-31 00:00,90058817.854747,1024701.110559,48140041.649664,7711072.373963,,,295175993.456652,,13704824.733294,,549593.253296
2020-11-01 00:00,92961137.712679,1024235.926148,43876843.429319,8922058.511851,,,303384804.128464,,13890660.601829,,609278.765958
2020-11-02 00:00,88551498.224919,1015677.777222,42241584.277409,6727509.658278,,,285608445.01501,,14649365.121793,,637369.19802
2020-11-03 00:00,91150707.990763,1000764.264552,44163528.557795,6738761.274314,,,280154518.071967,,14449622.695264,,1443485.218013
2020-11-04 00:00,86359969.424043,1000897.027428,42184408.393861,6523670.014576,,,298107511.723369,,14688556.710811,,240546.084194
2020-11-05 00:00,82623750.273489,1014308.535005,26071904.300996,7038161.020392,,,295390679.588345,,14783526.844194,,3117371.684184
2020-11-06 00:00,74432964.367212,1097310.002221,16569849.92606,6767403.186858,,,301086780.680118,,15405934.137193,,755749.899242
2020-11-07 00:00,79171523.472765,1076751.331248,8193811.201273,4130391.233874,,,285649677.878519,,13513028.545591,,1696046.654814
2020-11-08 00:00,77008914.622698,1343722.650632,13913927.881931,7007653.192986,,,288746344.665452,,13791387.431666,,1178054.169936
