evt_date,maker,aave,dydx,compound,uniswap,curve,treasury,other,sushiswap,balancer,bridge,bancor,total
2022-04-08 00:00,4644477233.561384,633695615.408783,1277430623.02705,707657096.513163,4023971455.227044,87895571.268375,266263478.166663,1013311987.07743,319565151.811374,187738670.999774,5651687109.787749,13801626.722363,18827495619.57115
2022-04-09 00:00,4644895355.811416,625141463.343814,1278478032.970265,702700656.390601,4073547419.934304,86382314.459861,265618181.496663,1007435590.550537,320529213.549077,187234466.570866,5637307284.687819,13850447.079816,18843120426.84504
2022-04-10 00:00,4639322768.345363,657743065.310216,1274870470.894012,701444728.017649,4033218015.279247,83206952.819057,265618181.496663,935761722.760944,319852700.819372,189618218.755418,5634267142.816793,13870733.44153,18748794700.756264
2022-04-11 00:00,4568186488.041107,658913896.979795,1268061709.187402,713027014.077513,3958719167.863759,76914859.365232,265618181.496663,865633347.914565,318691771.858584,186386588.626349,5614923591.140048,13090486.584345,18508167103.13536
2022-04-12 00:00,4530253767.637007,741291593.792118,1244004738.767901,631182441.478684,3983547003.900742,83224965.565984,265618181.496663,875465570.167963,320005716.842661,201572364.168555,5587827746.719943,13093629.661399,18477087720.19962
2022-04-13 00:00,4515996358.576414,749750884.936049,1238708412.998379,639528818.018225,4044376682.848601,87176150.834914,265618181.496663,789280829.738954,321115353.850685,204432633.941675,5649656558.912202,13217813.531095,18518858679.683857
2022-04-14 00:00,4471319515.804448,711470151.140459,1242021302.826231,648565926.853272,4035832366.037646,84224224.079389,265568181.496663,798288961.240454,320119365.545517,200005288.770413,5623035993.961704,13115164.000292,18413566441.75649
2022-04-15 00:00,4474593305.397979,693958063.33447,1245735922.196904,649782660.084605,4081123680.228382,89242770.765323,265568181.496663,783641803.635239,320142651.861057,208279037.425485,5640132714.846621,13173981.005212,18465374772.27794
2022-04-16 00:00,4454072172.369643,705991221.877093,1245891709.845178,649728874.971125,4098927942.941926,88383364.93683,265568181.546663,776347786.659202,320333642.084537,207502835.215592,5627945532.094086,13196698.453112,18453889962.994987
2022-04-17 00:00,4414661982.691041,713914378.498238,1252175554.894643,656213193.963633,4091911105.835355,83339256.363219,267477064.506117,713215455.176265,319409611.396336,200373742.828133,5612316122.720973,13114278.643779,18338121747.51773
2022-04-18 00:00,4389258109.489208,696637808.913369,1253071514.572088,642742733.586639,4159294939.000245,87303651.222634,267477064.506117,720931272.11853,320151622.309569,205668294.43071,5595404618.377014,13212886.959127,18351154515.48525
2022-04-19 00:00,4357691786.061188,679620656.602161,1251665308.784457,657935958.239131,4192126093.94003,83511513.14457,267477064.506117,741900445.480256,321171202.634243,215391557.668652,5592739143.799017,13207973.32902,18374438704.188843
2022-04-20 00:00,4373863126.850967,670089232.996375,1258674575.374489,657387548.783397,4187513832.084296,81549536.035122,283963079.506117,736050358.965124,320365134.046682,211634438.962454,5473040680.061009,13228037.870394,18267359581.536427
2022-04-21 00:00,4348162744.644335,676633690.918017,1262254180.393423,653409042.22694,4159374237.908502,76481273.253126,283878592.506117,721714037.931122,322186480.321039,204455616.855603,5445034274.377869,13038158.55505,18166622329.891144
2022-04-22 00:00,4310398431.90031,703618907.479009,1259918820.934314,667031486.692621,4141506506.759379,74217241.324898,283878592.506117,709705739.836796,322605036.571897,208657448.114417,5502921879.083487,12997851.015643,18197457942.218887
2022-04-23 00:00,4308487684.351036,706975903.214477,1262502572.446893,668300056.747119,4132098850.559846,72546929.432727,283878592.506117,711190127.361963,322433181.859943,206384899.015572,5500869970.437455,12963588.215353,18188632356.148502
2022-04-24 00:00,4306570985.153132,806158596.426682,1258719513.285476,678910593.977193,4144603251.672184,73004814.848752,283878592.506117,647884347.885871,322172794.974466,211410297.441715,5513583223.7622,12892921.503159,18259789933.436947
2022-04-25 00:00,4280836471.912457,837551674.767998,1257799521.648381,732804406.611484,4182638740.492911,73135519.974531,283878592.506117,729956599.883858,322483994.191979,213342638.727897,5465543719.407477,13005303.680338,18392977183.805428
2022-04-26 00:00,4246965125.707994,891795970.18161,1268571184.003378,720708119.388911,4138150443.76315,70490804.174561,283857892.506117,716974727.794864,318956163.21654,213003646.562015,5469402546.370119,12654012.797143,18351530636.4664
2022-04-27 00:00,4209339713.737932,924123269.042422,1265921504.577086,741304996.840047,4186384982.712793,71738244.189937,284707583.024685,687613403.444157,323374132.949764,211221824.186191,5538253391.09267,12774171.217023,18456757217.014706
2022-04-28 00:00,4194000487.81648,919432584.834435,1264440234.667656,674611964.156118,4228620407.505238,74796152.616987,284707583.024685,687060327.309793,323862698.815645,203208070.755341,5539368692.622925,12857337.273078,18406966541.39838
2022-04-29 00:00,4112212535.216997,918218036.09588,1259011804.888291,667734340.01831,4181982407.752331,71840216.452706,284707583.024685,675318566.588025,321739390.241204,177418637.941044,5531628234.705981,12579895.595017,18214391648.52047
2022-04-30 00:00,4096609870.546613,962235965.865633,1263050868.529406,681353444.756951,4174014813.671662,68116443.793067,284627583.024685,658549052.703038,319888110.583447,172891025.737715,5475589776.94991,12297603.654469,18169224559.816597
2022-05-01 00:00,4080457418.584586,969736214.154942,1254260379.901986,690625493.292267,4226428922.69518,69617979.284763,284179583.024685,641370840.062247,322194988.553279,172655853.235642,5451641433.868665,12418925.688872,18175588032.347115
2022-05-02 00:00,4002324335.512802,1063197462.170925,1156611633.52176,685891639.149714,4252669852.803165,71625799.781445,284179583.024685,553165007.482971,313097437.576539,162621287.418033,5433788279.799443,12407419.325318,17991579737.5668
