date,oracle,Active Users
2018-03-23T00:00:00+00:00,Chainlink,20767
2018-03-24T00:00:00+00:00,Chainlink,20801
2018-03-25T00:00:00+00:00,Chainlink,20828
2018-03-26T00:00:00+00:00,Chainlink,20857
2018-03-27T00:00:00+00:00,Chainlink,20853
2018-03-28T00:00:00+00:00,Chainlink,20867
2018-03-29T00:00:00+00:00,Chainlink,20902
2018-03-30T00:00:00+00:00,Chainlink,20909
2018-03-31T00:00:00+00:00,Chainlink,20922
2018-04-01T00:00:00+00:00,Chainlink,20920
2018-04-02T00:00:00+00:00,Chainlink,20938
2018-04-03T00:00:00+00:00,Chainlink,20961
2018-04-04T00:00:00+00:00,Chainlink,20979
2018-04-05T00:00:00+00:00,Chainlink,21005
2018-04-06T00:00:00+00:00,Chainlink,21004
2018-04-07T00:00:00+00:00,Chainlink,21015
2018-04-08T00:00:00+00:00,Chainlink,21020
2018-04-09T00:00:00+00:00,Chainlink,21014
2018-04-10T00:00:00+00:00,Chainlink,21035
2018-04-11T00:00:00+00:00,Chainlink,21062
2018-04-12T00:00:00+00:00,Chainlink,21084
2018-04-13T00:00:00+00:00,Chainlink,21114
2018-04-14T00:00:00+00:00,Chainlink,21129
2018-04-15T00:00:00+00:00,Chainlink,21159
2018-04-16T00:00:00+00:00,Chainlink,21177
2018-04-17T00:00:00+00:00,Chainlink,21213
2018-04-18T00:00:00+00:00,Chainlink,21253
2018-04-19T00:00:00+00:00,Chainlink,21258
2018-04-20T00:00:00+00:00,Chainlink,21283
2018-04-21T00:00:00+00:00,Chainlink,21313
2018-04-22T00:00:00+00:00,Chainlink,21325
2018-04-23T00:00:00+00:00,Chainlink,21339
2018-04-24T00:00:00+00:00,Chainlink,21370
2018-04-25T00:00:00+00:00,Chainlink,21376
2018-04-26T00:00:00+00:00,Chainlink,21413
2018-04-27T00:00:00+00:00,Chainlink,21437
2018-04-28T00:00:00+00:00,Chainlink,21461
2018-04-29T00:00:00+00:00,Chainlink,21484
2018-04-30T00:00:00+00:00,Chainlink,21508
2018-05-01T00:00:00+00:00,Chainlink,21536
2018-05-02T00:00:00+00:00,Chainlink,21567
2018-05-03T00:00:00+00:00,Chainlink,21596
2018-05-04T00:00:00+00:00,Chainlink,21625
2018-05-05T00:00:00+00:00,Chainlink,21629
2018-05-06T00:00:00+00:00,Chainlink,21643
2018-05-07T00:00:00+00:00,Chainlink,21669
2018-05-08T00:00:00+00:00,Chainlink,21704
2018-05-09T00:00:00+00:00,Chainlink,21750
2018-05-10T00:00:00+00:00,Chainlink,21774
2018-05-11T00:00:00+00:00,Chainlink,21782
2018-05-12T00:00:00+00:00,Chainlink,21796
2018-05-13T00:00:00+00:00,Chainlink,21820
2018-05-14T00:00:00+00:00,Chainlink,21835
2018-05-15T00:00:00+00:00,Chainlink,21880
2018-05-16T00:00:00+00:00,Chainlink,21905
2018-05-17T00:00:00+00:00,Chainlink,21917
2018-05-18T00:00:00+00:00,Chainlink,21927
2018-05-19T00:00:00+00:00,Chainlink,21949
2018-05-20T00:00:00+00:00,Chainlink,21959
2018-05-21T00:00:00+00:00,Chainlink,21964
2018-05-22T00:00:00+00:00,Chainlink,21980
2018-05-23T00:00:00+00:00,Chainlink,21983
2018-05-24T00:00:00+00:00,Chainlink,21991
2018-05-25T00:00:00+00:00,Chainlink,22009
2018-05-26T00:00:00+00:00,Chainlink,22020
2018-05-27T00:00:00+00:00,Chainlink,22028
2018-05-28T00:00:00+00:00,Chainlink,22038
2018-05-29T00:00:00+00:00,Chainlink,22035
2018-05-30T00:00:00+00:00,Chainlink,22054
2018-05-31T00:00:00+00:00,Chainlink,22063
2018-06-01T00:00:00+00:00,Chainlink,22062
2018-06-02T00:00:00+00:00,Chainlink,22062
2018-06-03T00:00:00+00:00,Chainlink,22072
2018-06-04T00:00:00+00:00,Chainlink,22085
2018-06-05T00:00:00+00:00,Chainlink,22087
2018-06-06T00:00:00+00:00,Chainlink,22088
2018-06-07T00:00:00+00:00,Chainlink,22086
2018-06-08T00:00:00+00:00,Chainlink,22089
2018-06-09T00:00:00+00:00,Chainlink,22090
2018-06-10T00:00:00+00:00,Chainlink,22093
2018-06-11T00:00:00+00:00,Chainlink,22096
2018-06-12T00:00:00+00:00,Chainlink,22099
2018-06-13T00:00:00+00:00,Chainlink,22088
2018-06-14T00:00:00+00:00,Chainlink,22097
2018-06-15T00:00:00+00:00,Chainlink,22100
2018-06-16T00:00:00+00:00,Chainlink,22115
2018-06-17T00:00:00+00:00,Chainlink,22119
2018-06-18T00:00:00+00:00,Chainlink,22130
2018-06-19T00:00:00+00:00,Chainlink,22133
2018-06-20T00:00:00+00:00,Chainlink,22134
2018-06-21T00:00:00+00:00,Chainlink,22138
2018-06-22T00:00:00+00:00,Chainlink,22139
2018-06-23T00:00:00+00:00,Chainlink,22143
2018-06-24T00:00:00+00:00,Chainlink,22135
2018-06-25T00:00:00+00:00,Chainlink,22142
2018-06-26T00:00:00+00:00,Chainlink,22143
2018-06-27T00:00:00+00:00,Chainlink,22146
2018-06-28T00:00:00+00:00,Chainlink,22150
2018-06-29T00:00:00+00:00,Chainlink,22148
2018-06-30T00:00:00+00:00,Chainlink,22154
2018-07-01T00:00:00+00:00,Chainlink,22158
2018-07-02T00:00:00+00:00,Chainlink,22163
2018-07-03T00:00:00+00:00,Chainlink,22170
2018-07-04T00:00:00+00:00,Chainlink,22180
2018-07-05T00:00:00+00:00,Chainlink,22186
2018-07-06T00:00:00+00:00,Chainlink,22207
2018-07-07T00:00:00+00:00,Chainlink,22226
2018-07-08T00:00:00+00:00,Chainlink,22232
2018-07-09T00:00:00+00:00,Chainlink,22240
2018-07-10T00:00:00+00:00,Chainlink,22248
2018-07-11T00:00:00+00:00,Chainlink,22252
2018-07-12T00:00:00+00:00,Chainlink,22261
2018-07-13T00:00:00+00:00,Chainlink,22256
2018-07-14T00:00:00+00:00,Chainlink,22261
2018-07-15T00:00:00+00:00,Chainlink,22270
2018-07-16T00:00:00+00:00,Chainlink,22276
2018-07-17T00:00:00+00:00,Chainlink,22278
2018-07-18T00:00:00+00:00,Chainlink,22287
2018-07-19T00:00:00+00:00,Chainlink,22283
2018-07-20T00:00:00+00:00,Chainlink,22269
2018-07-21T00:00:00+00:00,Chainlink,22273
2018-07-22T00:00:00+00:00,Chainlink,22285
2018-07-23T00:00:00+00:00,Chainlink,22293
2018-07-24T00:00:00+00:00,Chainlink,22288
2018-07-25T00:00:00+00:00,Chainlink,22282
2018-07-26T00:00:00+00:00,Chainlink,22292
2018-07-27T00:00:00+00:00,Chainlink,22303
2018-07-28T00:00:00+00:00,Chainlink,22314
2018-07-29T00:00:00+00:00,Chainlink,22330
2018-07-30T00:00:00+00:00,Chainlink,22330
2018-07-31T00:00:00+00:00,Chainlink,22330
2018-08-01T00:00:00+00:00,Chainlink,22336
2018-08-02T00:00:00+00:00,Chainlink,22338
2018-08-03T00:00:00+00:00,Chainlink,22337
2018-08-04T00:00:00+00:00,Chainlink,22344
2018-08-05T00:00:00+00:00,Chainlink,22351
2018-08-06T00:00:00+00:00,Chainlink,22354
2018-08-07T00:00:00+00:00,Chainlink,22365
2018-08-08T00:00:00+00:00,Chainlink,22372
2018-08-09T00:00:00+00:00,Chainlink,22353
2018-08-10T00:00:00+00:00,Chainlink,22355
2018-08-11T00:00:00+00:00,Chainlink,22358
2018-08-12T00:00:00+00:00,Chainlink,22364
2018-08-13T00:00:00+00:00,Chainlink,22365
2018-08-14T00:00:00+00:00,Chainlink,22362
2018-08-15T00:00:00+00:00,Chainlink,22367
2018-08-16T00:00:00+00:00,Chainlink,22379
2018-08-17T00:00:00+00:00,Chainlink,22398
2018-08-18T00:00:00+00:00,Chainlink,22400
2018-08-19T00:00:00+00:00,Chainlink,22412
2018-08-20T00:00:00+00:00,Chainlink,22417
2018-08-21T00:00:00+00:00,Chainlink,22434
2018-08-22T00:00:00+00:00,Chainlink,22454
2018-08-23T00:00:00+00:00,Chainlink,22467
2018-08-24T00:00:00+00:00,Chainlink,22491
2018-08-25T00:00:00+00:00,Chainlink,22508
2018-08-26T00:00:00+00:00,Chainlink,22520
2018-08-27T00:00:00+00:00,Chainlink,22539
2018-08-28T00:00:00+00:00,Chainlink,22548
2018-08-29T00:00:00+00:00,Chainlink,22554
2018-08-30T00:00:00+00:00,Chainlink,22566
2018-08-31T00:00:00+00:00,Chainlink,22571
2018-09-01T00:00:00+00:00,Chainlink,22583
2018-09-02T00:00:00+00:00,Chainlink,22577
2018-09-03T00:00:00+00:00,Chainlink,22586
2018-09-04T00:00:00+00:00,Chainlink,22588
2018-09-05T00:00:00+00:00,Chainlink,22587
2018-09-06T00:00:00+00:00,Chainlink,22590
2018-09-07T00:00:00+00:00,Chainlink,22596
2018-09-08T00:00:00+00:00,Chainlink,22588
2018-09-09T00:00:00+00:00,Chainlink,22592
2018-09-10T00:00:00+00:00,Chainlink,22606
2018-09-11T00:00:00+00:00,Chainlink,22614
2018-09-12T00:00:00+00:00,Chainlink,22603
2018-09-13T00:00:00+00:00,Chainlink,22611
2018-09-14T00:00:00+00:00,Chainlink,22632
2018-09-15T00:00:00+00:00,Chainlink,22651
2018-09-16T00:00:00+00:00,Chainlink,22653
2018-09-17T00:00:00+00:00,Chainlink,22669
2018-09-18T00:00:00+00:00,Chainlink,22677
2018-09-19T00:00:00+00:00,Chainlink,22708
2018-09-20T00:00:00+00:00,Chainlink,22708
2018-09-21T00:00:00+00:00,Chainlink,22710
2018-09-22T00:00:00+00:00,Chainlink,22725
2018-09-23T00:00:00+00:00,Chainlink,22730
2018-09-24T00:00:00+00:00,Chainlink,22723
2018-09-25T00:00:00+00:00,Chainlink,22737
2018-09-26T00:00:00+00:00,Chainlink,22755
2018-09-27T00:00:00+00:00,Chainlink,22774
2018-09-28T00:00:00+00:00,Chainlink,22792
