author11,author10,author9,author8,author7,author6,author5,author4,author3,author2,author1,EIP_Number,Title,Author,Status,author1_id,author2_id,author3_id,author4_id,author5_id,author6_id,author7_id,author8_id,author9_id,author10_id,author11_id
,,,,,,,,,,davesag,884,DGCL Token,Dave Sag,Stagnant,41,,,,,,,,,,
,,,,,,,,,,davidkim,4675,Multi-Fractional Non-Fungible Tokens,David Kim,Draft,211,,,,,,,,,,
,,,,,,,,,,davidstanfill,969,Modifications to ethash to invalidate existing dedicated hardware implementations,David Stanfill,Stagnant,47,,,,,,,,,,
,,,,,,,,,,derivstudio,5187,Extend EIP-1155 with rentable usage rights,DerivStudio,Draft,249,,,,,,,,,,
,,,,,,,,,,devinconley,4987,Held token interface,Devin Conley,Review,232,,,,,,,,,,
,,,,,,,,,,dr.christophergorman,3068,Precompile for BN256 HashToCurve Algorithms,Dr. Christopher Gorman,Stagnant,164,,,,,,,,,,
,,,,,,,,,,edsonayllon,2458,Updates and Updated-by Header,Edson Ayllon,Withdrawn,133,,,,,,,,,,
,,,,,,,,,,eosclassic,1276,Eliminate Difficulty Bomb and Adjust Block Reward on Constantinople Shift,EOS Classic,Stagnant,77,,,,,,,,,,
,,,,,,,,,,ericconner,2384,Muir Glacier Difficulty Bomb Delay,Eric Conner,Final,130,,,,,,,,,,
,,,,,,,,,,erikmarks,3326,Wallet Switch Ethereum Chain RPC Method (`wallet_switchEthereumChain`),Erik Marks,Stagnant,167,,,,,,,,,,
,,,,,,,,,,felixlange,8,devp2p Forward Compatibility Requirements for Homestead,Felix Lange,Final,6,,,,,,,,,,
,,,,,,,,,,felixlange,778,Ethereum Node Records (ENR),Felix Lange,Final,6,,,,,,,,,,
,,,,,,,,,,felixlange,868,Node Discovery v4 ENR Extension,Felix Lange,Final,6,,,,,,,,,,
,,,,,,,,,,filippmakarov,5753,Lockable Extension for EIP-721,Filipp Makarov,Draft,291,,,,,,,,,,
,,,,,,,,,,filipstamcar,2520,Multiple contenthash records for ENS,Filip Stamcar,Stagnant,137,,,,,,,,,,
,,,,,,,,,,franciscogiordano,5267,Retrieval of EIP-712 domain,Francisco Giordano,Review,76,,,,,,,,,,
,,,,,,,,,,gavinfu,5625,NFT Metadata JSON Schema dStorage Extension,Gavin Fu,Draft,280,,,,,,,,,,
,,,,,,,,,,gavinwood,161,State trie clearing (invariant-preserving alternative),Gavin Wood,Final,13,,,,,,,,,,
,,,,,,,,,,gerhardwagner,1470,Smart Contract Weakness Classification (SWC),Gerhard Wagner,Stagnant,87,,,,,,,,,,
,,,,,,,,,,giuseppebertone,2848,My Own Messages (MOM),Giuseppe Bertone,Stagnant,149,,,,,,,,,,
,,,,,,,,,,green,5022,Increase price of SSTORE from zero to non-zero to 40k gas,Green,Stagnant,235,,,,,,,,,,
,,,,,,,,,,gregcolvin,616,SIMD Operations for the EVM,Greg Colvin,Stagnant,20,,,,,,,,,,
,,,,,,,,,,gregorymarkou,2831,Transaction Replacement Message Type,Gregory Markou,Stagnant,108,,,,,,,,,,
,,,,,,,,,,gregorymarkou,3709,Remove Support for Type 1 Transactions,Gregory Markou,Stagnant,108,,,,,,,,,,
,,,,,,,,,,gregorymarkou,3788,Strict enforcement of chainId,Gregory Markou,Stagnant,108,,,,,,,,,,
,,,,,,,,,,guillaumeballet,2584,Trie format transition with overlay trees,Guillaume Ballet,Stagnant,142,,,,,,,,,,
,,,,,,,,,,hadriencroubois,2525,ENSLogin,Hadrien Croubois,Stagnant,138,,,,,,,,,,
,,,,,,,,,,hadriencroubois,5143,Slippage Protection for Tokenized Vault,Hadrien Croubois,Draft,138,,,,,,,,,,
,,,,,,,,,,hadriencroubois,5806,Delegate transaction,Hadrien Croubois,Draft,138,,,,,,,,,,
,,,,,,,,,,hermanjunge,3030,BLS Remote Signer HTTP API,Herman Junge,Stagnant,162,,,,,,,,,,
,,,,,,,,,,honorlabs,5633,"Composable Soulbound NFT, EIP-1155 Extension",HonorLabs,Draft,282,,,,,,,,,,
,,,,,,,,,,hudsonjameson,6,Renaming SUICIDE opcode,Hudson Jameson,Final,5,,,,,,,,,,
,,,,,,,,,,iamnotchris,1491,Human Cost Accounting Standard (Like Gas but for humans),Iamnot Chris,Stagnant,90,,,,,,,,,,
,,,,,,,,,,ignaciomazzara,4955,Vendor Metadata Extension for NFTs,Ignacio Mazzara,Review,228,,,,,,,,,,
,,,,,,,,,,ikmyeongna,1588,Hardfork Meta: Ethereum ProgPoW,Ikmyeong Na,Stagnant,95,,,,,,,,,,
,,,,,,,,,,ironman_ch,5489,NFT Hyperlink Extension,IronMan_CH,Final,260,,,,,,,,,,
,,,,,,,,,,isaacardis,3534,Restricted Chain Context Type Transactions,Isaac Ardis,Stagnant,27,,,,,,,,,,
,,,,,,,,,,jackpeterson,758,Subscriptions and filters for completed transactions,Jack Peterson,Stagnant,32,,,,,,,,,,
,,,,,,,,,,jameschoncholas,2390,Geo-ENS,James Choncholas,Stagnant,131,,,,,,,,,,
,,,,,,,,,,jameshancock,2025,Block Rewards Proposal for funding Eth1.x,James Hancock,Withdrawn,122,,,,,,,,,,
,,,,,,,,,,jameshancock,2378,EIPs Eligible for Inclusion,James Hancock,Stagnant,122,,,,,,,,,,
,,,,,,,,,,jameshancock,2387,Hardfork Meta: Muir Glacier,James Hancock,Final,122,,,,,,,,,,
,,,,,,,,,,jameshancock,2515,Implement Difficulty Freeze,James Hancock,Stagnant,122,,,,,,,,,,
,,,,,,,,,,jameshancock,2657,Ephemeral Testnet Yolo,James Hancock,Stagnant,122,,,,,,,,,,
,,,,,,,,,,jameshancock,3554,Difficulty Bomb Delay to December 2021,James Hancock,Final,122,,,,,,,,,,
,,,,,,,,,,janturk,1129,Standardised DAPP announcements,Jan Turk,Stagnant,60,,,,,,,,,,
,,,,,,,,,,jeremyz,5496,Multi-privilege Management NFT Extension,Jeremy Z,Last Call,261,,,,,,,,,,
,,,,,,,,,,jetlim,1175,Wallet & shop standard for all tokens (erc20),Jet Lim,Stagnant,66,,,,,,,,,,
,,,,,,,,,,jetlim,1438,dApp Components (avatar) & Universal Wallet,Jet Lim,Stagnant,66,,,,,,,,,,
,,,,,,,,,,jimmcdonald,1185,Storage of DNS Records in ENS,Jim McDonald,Stagnant,68,,,,,,,,,,
,,,,,,,,,,jimmcdonald,2386,Ethereum 2 Hierarchical Deterministic Walletstore,Jim McDonald,Stagnant,68,,,,,,,,,,
,,,,,,,,,,jimmcdonald,2680,Ethereum 2 wallet layout,Jim McDonald,Stagnant,68,,,,,,,,,,
,,,,,,,,,,joelthorstensson,2844,Add DID related methods to the JSON-RPC,Joel Thorstensson,Stagnant,148,,,,,,,,,,
,,,,,,,,,,johnadler,2242,Transaction Postdata,John Adler,Stagnant,124,,,,,,,,,,
,,,,,,,,,,jonathanunderwood,2876,Deposit contract and address standard,Jonathan Underwood,Stagnant,150,,,,,,,,,,
,,,,,,,,,,jordibaylina,1109,PRECOMPILEDCALL opcode (Remove CALL costs for precompiled contracts),Jordi Baylina,Stagnant,36,,,,,,,,,,
,,,,,,,,,,josephchow,4,EIP Classification,Joseph Chow,Final,3,,,,,,,,,,
,,,,,,,,,,josephstockermans,2566,Human Readable Parameters for Contract Function Execution,Joseph Stockermans,Stagnant,140,,,,,,,,,,
,,,,,,,,,,juleslai,4393,Micropayments for NFTs and Multi Tokens,Jules Lai,Draft,199,,,,,,,,,,
,,,,,,,,,,juleslai,4885,Subscription NFTs and Multi Tokens,Jules Lai,Draft,199,,,,,,,,,,
,,,,,,,,,,julianorizzo,1191,Add chain id to mixed-case checksum address encoding,Juliano Rizzo,Last Call,70,,,,,,,,,,
,,,,,,,,,,justicehudson,3332,MEDGASPRICE Opcode,Justice Hudson,Withdrawn,173,,,,,,,,,,
,,,,,,,,,,justicehudson,4546,Wrapped Deposits,Justice Hudson,Stagnant,173,,,,,,,,,,
,,,,,,,,,,kashishkhullar,823,Token Exchange Standard,Kashish Khullar,Stagnant,37,,,,,,,,,,
,,,,,,,,,,kohshishiba,2615,Non-Fungible Token with mortgage and rental functions,Kohshi Shiba,Stagnant,143,,,,,,,,,,
,,,,,,,,,,lightclient,3756,Gas Limit Cap,lightclient,Stagnant,193,,,,,,,,,,
,,,,,,,,,,ligi,801,Canary Standard,ligi,Stagnant,35,,,,,,,,,,
,,,,,,,,,,ligi,831,URI Format for Ethereum,ligi,Review,35,,,,,,,,,,
,,,,,,,,,,liszechung,5505,EIP-1155 asset backed NFT extension,liszechung,Draft,263,,,,,,,,,,
,,,,,,,,,,loredanacirstea,2256,wallet_getOwnedAssets JSON-RPC Method,Loredana Cirstea,Stagnant,111,,,,,,,,,,
,,,,,,,,,,mariusvanderwijden,5793,eth/68 - Add tx type to tx announcement,Marius van der Wijden,Draft,226,,,,,,,,,,
,,,,,,,,,,markmackey,4881,Deposit Contract Snapshot Interface,Mark Mackey,Draft,220,,,,,,,,,,
,,,,,,,,,,martinholstswende,3,Addition of CALLDEPTH opcode,Martin Holst Swende,Withdrawn,2,,,,,,,,,,
,,,,,,,,,,martinholstswende,1681,Temporal Replay Protection,Martin Holst Swende,Stagnant,2,,,,,,,,,,
,,,,,,,,,,martinholstswende,1884,Repricing for trie-size-dependent opcodes,Martin Holst Swende,Final,2,,,,,,,,,,
,,,,,,,,,,martinholstswende,2583,Penalty for account trie misses,Martin Holst Swende,Stagnant,2,,,,,,,,,,
,,,,,,,,,,martinlundfall,2327,BEGINDATA opcode,Martin Lundfall,Stagnant,127,,,,,,,,,,
,,,,,,,,,,martinlundfall,2612,Permit Extension for EIP-20 Signed Approvals,Martin Lundfall,Final,127,,,,,,,,,,
,,,,,,,,,,matt,3005,Batched meta transactions,Matt,Stagnant,158,,,,,,,,,,
,,,,,,,,,,mattgarnett,2733,Transaction Package,Matt Garnett,Withdrawn,145,,,,,,,,,,
,,,,,,,,,,mattgarnett,3521,Reduce access list cost,Matt Garnett,Stagnant,145,,,,,,,,,,
,,,,,,,,,,maurelian,1482,Define a maximum block timestamp drift,Maurelian,Stagnant,14,,,,,,,,,,
,,,,,,,,,,micahzoltu,234,Add `blockHash` to JSON-RPC filter options.,Micah Zoltu,Final,19,,,,,,,,,,
,,,,,,,,,,micahzoltu,1240,Remove Difficulty Bomb,Micah Zoltu,Withdrawn,19,,,,,,,,,,
,,,,,,,,,,micahzoltu,2711,"Sponsored, expiring and batch transactions.",Micah Zoltu,Withdrawn,19,,,,,,,,,,
,,,,,,,,,,micahzoltu,2718,Typed Transaction Envelope,Micah Zoltu,Final,19,,,,,,,,,,
,,,,,,,,,,micahzoltu,2803,Rich Transactions,Micah Zoltu,Stagnant,19,,,,,,,,,,
,,,,,,,,,,micahzoltu,2972,Wrapped Legacy Transactions,Micah Zoltu,Withdrawn,19,,,,,,,,,,
,,,,,,,,,,micahzoltu,2976,Typed Transactions over Gossip,Micah Zoltu,Final,19,,,,,,,,,,
,,,,,,,,,,micahzoltu,5114,Soulbound Badge,Micah Zoltu,Draft,19,,,,,,,,,,
,,,,,,,,,,michaeld.carter,3368,"Increase block rewards to 3 ETH, with 2 Year Decay to 1 ETH Scheduled",Michael D. Carter,Stagnant,174,,,,,,,,,,
,,,,,,,,,,michelebalistreri,1581,Non-wallet usage of keys derived from BIP-32 trees,Michele Balistreri,Stagnant,94,,,,,,,,,,
,,,,,,,,,,moodysalem,5792,Wallet Function Call API,Moody Salem,Draft,294,,,,,,,,,,
,,,,,,,,,,muditgupta,5065,Instruction for transferring ether,Mudit Gupta,Stagnant,239,,,,,,,,,,
,,,,,,,,,,naimashhab,5646,Token State Fingerprint,Naim Ashhab,Last Call,286,,,,,,,,,,
,,,,,,,,,,nathanginnever,3440,ERC-721 Editions Standard,Nathan Ginnever,Stagnant,180,,,,,,,,,,
,,,,,,,,,,nickjohnson,137,Ethereum Domain Name Service - Specification,Nick Johnson,Final,10,,,,,,,,,,
,,,,,,,,,,nickjohnson,181,ENS support for reverse resolution of Ethereum addresses,Nick Johnson,Final,10,,,,,,,,,,
,,,,,,,,,,nickjohnson,205,ENS support for contract ABIs,Nick Johnson,Stagnant,10,,,,,,,,,,
,,,,,,,,,,nickjohnson,658,Embedding transaction status code in receipts,Nick Johnson,Final,10,,,,,,,,,,
,,,,,,,,,,nickjohnson,926,Address metadata registry,Nick Johnson,Stagnant,10,,,,,,,,,,
,,,,,,,,,,nickjohnson,927,Generalised authorisations,Nick Johnson,Stagnant,10,,,,,,,,,,
,,,,,,,,,,nickjohnson,1051,Overflow checking for the EVM,Nick Johnson,Stagnant,10,,,,,,,,,,
,,,,,,,,,,nickjohnson,1087,Net gas metering for SSTORE operations,Nick Johnson,Stagnant,10,,,,,,,,,,
,,,,,,,,,,nickjohnson,1844,ENS Interface Discovery,Nick Johnson,Stagnant,10,,,,,,,,,,
,,,,,,,,,,nickjohnson,2304,Multichain address resolution for ENS,Nick Johnson,Stagnant,10,,,,,,,,,,
,,,,,,,,,,nickjohnson,3336,Paged memory allocation for the EVM,Nick Johnson,Stagnant,10,,,,,,,,,,
,,,,,,,,,,nickjohnson,3337,Frame pointer support for memory load and store operations,Nick Johnson,Stagnant,10,,,,,,,,,,
,,,,,,,,,,nickjohnson,3668,CCIP Read: Secure offchain data retrieval,Nick Johnson,Final,10,,,,,,,,,,
,,,,,,,,,,nickmudge,1538,Transparent Contract Standard,Nick Mudge,Withdrawn,16,,,,,,,,,,
,,,,,,,,,,nickmudge,2535,"Diamonds, Multi-Facet Proxy",Nick Mudge,Final,16,,,,,,,,,,
,,,,,,,,,,nicksavers,1013,Hardfork Meta: Constantinople,Nick Savers,Final,51,,,,,,,,,,
