id,name,n_eip,between,close,eigen
234,Lance,4,0.0,0.09718777356288298,3.6913032581396074e-07
183,Yu Liu,1,0.0,0.03355704697986577,1.7687264758265148e-14
290,Kosala Hemachandra,1,0.0,0.0,2.2223919970860852e-39
156,Zach Burks,1,0.0,0.020134228187919462,4.0995896401707277e-20
228,Ignacio Mazzara,1,0.0,0.0,2.2223919970860852e-39
260,IronMan_CH,1,0.0,0.0,2.2223919970860852e-39
201,Daniel Ivanov,1,0.0,0.006711409395973154,9.545100946376863e-30
1,Vitalik Buterin,2,0.001859241792127698,0.16406009482174744,2.6087918413470733e-06
236,Jarno Marttila,1,0.0,0.006711409395973154,9.545100946376863e-30
279,Gaurang Torvekar,1,0.0,0.013422818791946308,4.11813723814328e-24
27,Isaac Ardis,1,0.0,0.13703103705417985,8.882188466894914e-07
84,Vittorio Minacori,1,0.0,0.0,2.2223919970860852e-39
22,Richard Moore,1,0.0,0.13916381584101534,4.7406111393462114e-07
14,Maurelian,1,0.0,0.1402552967495723,5.483068450409468e-07
2,Martin Holst Swende,1,0.0,0.13916381584101534,4.7406111393462114e-07
209,Joey Santoro,1,0.0010278735110949883,0.12082804280790858,1.2428901169292014e-07
670,RE:DREAMER Lab,1,0.0,0.040268456375838924,2.4544712246000877e-12
167,Erik Marks,5,0.032601513306211305,0.1872518359745599,7.508080785842762e-06
384,Chao Pi,1,0.0,0.02097315436241611,1.7935227268090638e-19
424,Cicada,3,0.0,0.027964205816554812,0.3745514094949019
355,Liraz Siri,1,0.0,0.1892333368843436,2.252933194031436e-05
316,Nate Welch,1,0.0,0.013422818791946308,4.11813723814328e-24
397,Weiwu,1,0.0,0.006711409395973154,9.545100946376863e-30
667,Wizard Wang,2,0.0,0.026845637583892617,9.046024222315273e-16
369,Mike Meng,1,0.0,0.03355704697986577,1.7687264758265148e-14
300,Tim Coulter,1,0.0,0.12001711634611054,1.0477622915128441e-07
68,Jim McDonald,1,0.0,0.006711409395973154,9.545100946376863e-30
304,Esteban Mino,1,0.0015849982292935312,0.15027353223168463,3.107910398589717e-06
404,Luca Donno,1,0.0,0.006711409395973154,9.545100946376863e-30
315,Andrew Cooke,1,0.0,0.1465782814391022,3.962238428361176e-06
311,Matt Russo,1,0.0,0.15415991668595233,3.7025241523822898e-06
323,Matt Condon,2,0.011326043205237831,0.16110405707721145,4.92742744735716e-06
301,Leonid Logvinov,1,0.0,0.11107174121472342,5.725540080247426e-08
631,Francesco Sullo,1,0.0005441683294032287,0.027964205816554812,0.12485046983163396
668,msfew,1,0.0,0.023969319271332695,3.2149203523262757e-19
378,Rosario Arjona,1,0.0,0.020134228187919462,4.0995896401707277e-20
421,Matt Stam,1,0.0,0.006711409395973154,9.545100946376863e-30
365,Fiona Kobayashi,1,0.0010278735110949883,0.12042121438094593,1.111403785914948e-07
318,Ryan Ghods,1,0.0,0.1687033050525516,4.022445278393123e-06
368,Varun Deshpande,1,0.0,0.03355704697986577,1.7687264758265148e-14
302,Dieter Shirley,1,0.0,0.14136403427328434,5.31235716712927e-07
361,James Morgan,1,0.0,0.020134228187919462,4.0995896401707277e-20
377,George Spasov,1,0.0,0.006711409395973154,9.545100946376863e-30
8,Alex Van de Sande,2,0.00025696837777374685,0.1408074829572478,7.76089471692545e-07
390,Martin Moravek,1,0.0,0.006711409395973154,9.545100946376863e-30
415,Khemraj Adhawade,1,0.0,0.013422818791946308,4.11813723814328e-24
78,Wei Tang,1,0.0,0.13703103705417985,8.882188466894914e-07
595,Silvere Heraudeau,1,2.2673680391801197e-05,0.026845637583892617,7.386047848509812e-16
381,t11s,1,0.0010278735110949883,0.12082804280790858,1.2428901169292014e-07
654,Archie Chang,1,0.0,0.040268456375838924,2.4544712246000877e-12
165,Sam Wilson,1,0.0,0.02097315436241611,1.7935227268090638e-19
154,Nick Gheorghita,1,0.0,0.1534982861422358,7.442875574816755e-07
475,Shrug,4,0.0,0.09718777356288298,3.6913032581396074e-07
431,Thomas Shababi,1,0.006530019952838744,0.13808919178046694,5.921335011464981e-07
500,Steven Pineda,4,2.2673680391801197e-05,0.03355704697986577,0.459380995272284
336,Dror Tirosh,1,0.0,0.1892333368843436,2.252933194031436e-05
438,Joe Messerman,1,0.0,0.013422818791946308,4.11813723814328e-24
138,Hadrien Croubois,2,0.014221796100990733,0.19437554712576596,2.309506686109302e-05
464,Yi Cai,1,0.0,0.03355704697986577,1.7687264758265148e-14
428,Denis Erfurt,1,0.0,0.12001711634611054,1.0477622915128441e-07
177,Philippe Castonguay,2,0.006734083076364957,0.15219191774953592,5.166287699748054e-06
