START_DATE,Intra_day_vol,Date,Meeting
2017-02-02,0.07318702466769579,2017-02-02,0
2017-02-03,0.07569963528715706,2017-02-03,0
2017-02-04,0.0809175192868411,2017-02-04,0
2017-02-05,0.06876630241496275,2017-02-05,0
2017-02-06,0.04402733011552503,2017-02-06,0
2017-02-07,0.06136136725419624,2017-02-07,0
2017-02-08,0.1304778008771574,2017-02-08,0
2017-02-09,0.23461346564268087,2017-02-09,0
2017-02-10,0.15978019321845746,2017-02-10,0
2017-02-11,0.043885143238930543,2017-02-11,0
2017-02-12,0.026012120920497796,2017-02-12,0
2017-02-13,0.09762301789633629,2017-02-13,0
2017-02-14,0.506342203984847,2017-02-14,0
2017-02-15,0.10568530672695753,2017-02-15,0
2017-02-16,0.07465743019993401,2017-02-16,0
2017-02-17,0.058730531772825216,2017-02-17,0
2017-02-18,0.034826172899711426,2017-02-18,0
2017-02-19,0.03010849944999586,2017-02-19,0
2017-02-20,0.06379172405548414,2017-02-20,0
2017-02-21,0.08627139516194407,2017-02-21,0
2017-02-22,0.055754053599300024,2017-02-22,0
2017-02-23,0.17591942737383057,2017-02-23,0
2017-02-24,0.08027127917798225,2017-02-24,0
2017-02-25,0.23687580063724722,2017-02-25,0
2017-02-26,0.3893351821476843,2017-02-26,0
2017-02-27,0.28291828082184556,2017-02-27,0
2017-02-28,0.3580984134064412,2017-02-28,0
2017-03-01,0.3862749026215097,2017-03-01,0
2017-03-02,0.884263285436534,2017-03-02,0
2017-03-03,0.6827369260153776,2017-03-03,0
2017-03-04,0.4489583354349506,2017-03-04,0
2017-03-05,0.3074718674535313,2017-03-05,0
2017-03-06,0.2745417789805342,2017-03-06,0
2017-03-07,0.22890413156881886,2017-03-07,0
2017-03-08,0.5531908429246173,2017-03-08,0
2017-03-09,0.4481974768568757,2017-03-09,0
2017-03-10,0.41106348464172415,2017-03-10,0
2017-03-11,0.7593661544483925,2017-03-11,0
2017-03-12,0.6480466748264537,2017-03-12,0
2017-03-13,1.8786564347958872,2017-03-13,0
2017-03-14,0.46910626557934293,2017-03-14,0
2017-03-15,2.125612443713473,2017-03-15,0
2017-03-16,2.406382779133474,2017-03-16,0
2017-03-17,3.7191385164239072,2017-03-17,0
2017-03-18,3.408633433512317,2017-03-18,0
2017-03-19,2.604497468844498,2017-03-19,0
2017-03-20,0.9013017960351749,2017-03-20,0
2017-03-21,0.46502279046534195,2017-03-21,0
2017-03-22,1.1538027077476467,2017-03-22,0
2017-03-23,0.8218024331495001,2017-03-23,0
2017-03-24,2.9365866757764554,2017-03-24,0
2017-03-25,1.0451141502039465,2017-03-25,0
2017-03-26,0.678237271978951,2017-03-26,0
2017-03-27,0.6289419168592696,2017-03-27,0
2017-03-28,0.44563259059128657,2017-03-28,0
2017-03-29,0.7112897807320946,2017-03-29,0
2017-03-30,0.4037855292394557,2017-03-30,0
2017-03-31,1.0251189397234413,2017-03-31,0
2017-04-01,0.6195157938588658,2017-04-01,0
2017-04-02,0.7566095234759421,2017-04-02,0
2017-04-03,0.9750963348915047,2017-04-03,0
2017-04-04,1.0419682461989723,2017-04-04,0
2017-04-05,0.9193176423501459,2017-04-05,0
2017-04-06,1.103831190491306,2017-04-06,0
2017-04-07,0.7751816056506576,2017-04-07,0
2017-04-08,0.47149450178914554,2017-04-08,0
2017-04-09,0.34481248842510454,2017-04-09,0
2017-04-10,0.2895711471734762,2017-04-10,0
2017-04-11,0.2140635148870472,2017-04-11,0
2017-04-12,1.0866134567305101,2017-04-12,0
2017-04-13,1.16547309545604,2017-04-13,0
2017-04-14,0.8316963632117872,2017-04-14,0
2017-04-15,0.5523223696357038,2017-04-15,0
