Number,Title,Author,Status
1681,Temporal Replay Protection,Martin Holst Swende,Stagnant
1702,Generalized Account Versioning Scheme,Wei Tang,Stagnant
1710,URL Format for Web3 Browsers,Bruno Barbieri,Stagnant
1753,Smart Contract Interface for Licences,"Lucas Cullen, Kai Yeung, Anna Crowley, Caroline Marshall, Katrina Donaghy",Stagnant
1761,Scoped Approval Interface,"Witek Radomski, Andrew Cooke, James Therien, Eric Binet",Stagnant
1767,GraphQL interface to Ethereum node data,"Nick Johnson, Raúl Kripalani, Kris Shinn",Stagnant
1775,"App Keys, application specific wallet accounts","Vincent Eli, Dan Finlay",Stagnant
1803,Rename opcodes for clarity,Alex Beregszaszi,Stagnant
1812,Ethereum Verifiable Claims,Pelle Braendgaard,Stagnant
1822,Universal Upgradeable Proxy Standard (UUPS),"Gabriel Barros, Patrick Gallagher",Stagnant
1829,Precompile for Elliptic Curve Linear Combinations,Remco Bloemen,Stagnant
1844,ENS Interface Discovery,Nick Johnson,Stagnant
1872,Ethereum Network Upgrade Windows,Danno Ferrin,Stagnant
1895,Support for an Elliptic Curve Cycle,Alexandre Belling,Stagnant
1900,dType - Decentralized Type System for EVM,"Loredana Cirstea, Christian Tzurcanu",Stagnant
1901,Add OpenRPC Service Discovery To JSON-RPC Services,"Shane Jonas, Zachary Belford",Stagnant
1921,dType Functions Extension,"Loredana Cirstea, Christian Tzurcanu",Stagnant
1922,zk-SNARK Verifier Standard,"Michael Connor, Chaitanya Konda, Duncan Westland",Stagnant
1923,zk-SNARK Verifier Registry Standard,"Michael Connor, Chaitanya Konda, Duncan Westland",Stagnant
1930,CALLs with strict gas semantic. Revert if not enough gas available.,Ronan Sandford,Stagnant
1948,Non-fungible Data Token,"Johann Barbie, Ben Bollen, pinkiebell",Stagnant
1959,New Opcode to check if a chainID is part of the history of chainIDs,Ronan Sandford,Stagnant
1962,EC arithmetic and pairings with runtime definitions,Alex Vlasov,Stagnant
1965,Method to check if a chainID is valid at a specific block Number,Ronan Sandford,Stagnant
1973,Scalable Rewards,"Lee Raj, Qin Jian",Stagnant
1985,Sane limits for certain EVM parameters,"Alex Beregszaszi, Paweł Bylica",Stagnant
