Number,Title,Author,Status
1285,Increase Gcallstipend gas in the CALL opcode,"Ben Kaufman, Adam Levi",Stagnant
3143,Increase block rewards to 5 ETH,Ben Tinner,Stagnant
4736,Consensus Layer Withdrawal Protection,"Benjamin Chodroff, Jim McDonald",Stagnant
1633,Re-Fungible Token Standard (RFT),"Billy Rennekamp, Dan Long, Kiryl Yermakou, Nate van der Ende",Stagnant
1080,Recoverable Token,Bradley Leatherwood,Stagnant
4520,Mult-byte opcodes prefixed by EB and EC.,"Brayton Goodall, Mihir Faujdar",Stagnant
5164,Cross-Chain Execution,"Brendan Asselstine, Pierrick Turelier",Review
1295,Modify Ethereum PoW Incentive Structure and Delay Difficulty Bomb,Brian Venturo,Stagnant
1444,Localized Messaging with Signal-to-Text,"Brooklyn Zelenka, Jennifer Cooper",Stagnant
902,Token Validation,"Brooklyn Zelenka, Tom Carchrae, Gleb Naumenko",Stagnant
1066,Status Codes,"Brooklyn Zelenka, Tom Carchrae, Gleb Naumenko",Stagnant
1710,URL Format for Web3 Browsers,Bruno Barbieri,Stagnant
5773,Context-Dependent Multi-Asset Tokens,"Bruno Skvorc, Cicada, Steven Pineda, Stevan Bogosavljevic, Jan Turk",Review
6059,Parent-Governed Nestable Non-Fungible Tokens,"Bruno Skvorc, Cicada, Steven Pineda, Stevan Bogosavljevic, Jan Turk",Draft
5484,Consensual Soulbound Tokens,Buzz Cai,Final
3386,ERC-721 and ERC-1155 to ERC-20 Wrapper,Calvin Koder,Stagnant
2333,BLS12-381 Key Generation,Carl Beekhuizen,Stagnant
2334,BLS12-381 Deterministic Account Hierarchy,Carl Beekhuizen,Stagnant
2335,BLS12-381 Keystore,Carl Beekhuizen,Stagnant
858,Reduce block reward and delay difficulty bomb,Carl Larson,Stagnant
779,Hardfork Meta: DAO Fork,Casey Detrio,Final
2045,Particle gas costs for EVM opcodes,"Casey Detrio, Alex Beregszaszi",Stagnant
1261,Membership Verification Token (MVT),"Chaitanya Potti, Partha Bhattacharya",Stagnant
1417,Poll Standard,"Chaitanya Potti, Partha Bhattacharya",Stagnant
1898,Add `blockHash` to defaultBlock methods,Charles Cooper,Draft
5202,Blueprint contract format,"Charles Cooper, Edward Amor",Review
5,Gas Usage for `RETURN` and `CALL*`,Christian Reitwiessner,Final
196,Precompiled contracts for addition and scalar multiplication on the elliptic curve alt_bn128,Christian Reitwiessner,Final
211,New opcodes: RETURNDATASIZE and RETURNDATACOPY,Christian Reitwiessner,Final
165,Standard Interface Detection,"Christian ReitwieBner, Nick Johnson, Fabian Vogelsteller, Jordi Baylina, Konrad Feldmeier, William Entriken",Final
2481,eth/66 request identifier,Christoph Burgdorf,Final
1523,Standard for Insurance Policies as ERC-721 Non Fungible Tokens,Christoph Mussenbrock,Stagnant
5185,NFT Updatable Metadata Extension,Christophe Le Bars,Draft
698,OPCODE 0x46 BLOCKREWARD,Cody Burns,Stagnant
5744,Latent Fungible Token,"Cozy Finance, Tony Sheng, Matt Solomon, David Laprade, Payom Dousti, Chad Fleming, Franz Chen",Draft
5643,Subscription NFTs,cygaar,Review
1592,Address and ERC20-compliant transfer rules,"Cyril Lapinte, Laurent Aapro",Stagnant
2593,Escalator fee market change for ETH 1.0 chain,Dan Finlay,Stagnant
2255,Wallet Permissions System,"Dan Finlay, Erik Marks",Stagnant
747,Add wallet_watchAsset to Provider,"Dan Finlay, Esteban Mino",Stagnant
5003,Insert Code into EOAs with AUTHUSURP,"Dan Finlay, Sam Wilson",Draft
867,Standardized Ethereum Recovery Proposals,"Dan Phifer, James Levy, Reuben Youngblom",Stagnant
681,URL Format for Transaction Requests,Daniel A. Nagy,Final
4400,EIP-721 Consumable Extension,"Daniel Ivanov, George Spasov",Final
2009,Compliance Service,Daniel Lehrner,Stagnant
3450,Standardized Shamir Secret Sharing Scheme for BIP-39 Mnemonics,Daniel Streit,Stagnant
4974,Ratings,Daniel Tedesco,Draft
3607,Reject transactions from senders with deployed code,"Dankrad Feist, Dmitry Khovratovich, Marius van der Wijden",Final
1872,Ethereum Network Upgrade Windows,Danno Ferrin,Stagnant
3436,Expanded Clique Block Choice Rule,Danno Ferrin,Stagnant
1011,Hybrid Casper FFG,"Danny Ryan, Chih-Cheng Liang",Stagnant
2982,Serenity Phase 0,"Danny Ryan, Vitalik Buterin",Final
884,DGCL Token,Dave Sag,Stagnant
4799,Non-Fungible Token Ownership Designation Standard,"David Buckman, Isaac Buckman",Stagnant
4675,Multi-Fractional Non-Fungible Tokens,David Kim,Draft
969,Modifications to ethash to invalidate existing dedicated hardware implementations,David Stanfill,Stagnant
900,Simple Staking Interface,"Dean Eigenmann, Jorge Izquierdo",Stagnant
1577,contenthash field for ENS,"Dean Eigenmann, Nick Johnson",Stagnant
5187,Extend EIP-1155 with rentable usage rights,DerivStudio,Draft
4987,Held token interface,Devin Conley,Review
2330,EXTSLOAD opcode,"Dominic Letz, Santiago Palladino",Draft
3068,Precompile for BN256 HashToCurve Algorithms,Dr. Christopher Gorman,Stagnant
2458,Updates and Updated-by Header,Edson Ayllon,Withdrawn
5507,Refundable Tokens,"elie222, Pandapip1",Draft
1276,Eliminate Difficulty Bomb and Adjust Block Reward on Constantinople Shift,EOS Classic,Stagnant
2384,Muir Glacier Difficulty Bomb Delay,Eric Conner,Final
3326,Wallet Switch Ethereum Chain RPC Method (`wallet_switchEthereumChain`),Erik Marks,Stagnant
3085,Wallet Add Ethereum Chain RPC Method (`wallet_addEthereumChain`),"Erik Marks, Pedro Gomes",Stagnant
6093,Custom errors for commonly-used tokens,"Ernesto García, Francisco Giordano, Hadrien Croubois",Draft
1193,Ethereum Provider JavaScript API,"Fabian Vogelsteller, Ryan Ghods, Victor Maia, Marc Garreau, Erik Marks",Final
725,General key-value store and execution standard,"Fabian Vogelsteller, Tyler Yasaka",Stagnant
20,Token Standard,"Fabian Vogelsteller, Vitalik Buterin",Final
1682,Storage Rent,"Felix J Lange, Martin Holst Swende",Withdrawn
8,devp2p Forward Compatibility Requirements for Homestead,Felix Lange,Final
778,Ethereum Node Records (ENR),Felix Lange,Final
868,Node Discovery v4 ENR Extension,Felix Lange,Final
1459,Node Discovery via DNS,"Felix Lange, Péter Szilágyi",Stagnant
2019,Fundable Token,"Fernando Paris, Julio Faura, Daniel Lehrner",Stagnant
2021,Payoutable Token,"Fernando Paris, Julio Faura, Daniel Lehrner",Stagnant
2520,Multiple contenthash records for ENS,Filip Stamcar,Stagnant
5753,Lockable Extension for EIP-721,Filipp Makarov,Draft
5630,New approach for encryption / decryption,"Firn Protocol, Fried L. Trout",Draft
5639,Delegation Registry,"foobar, Wilkins Chung, ryley-o, Jake Rockland, andy8052",Draft
5267,Retrieval of EIP-712 domain,Francisco Giordano,Review
1271,Standard Signature Validation Method for Contracts,"Francisco Giordano, Matt Condon, Philippe Castonguay, Amir Bandeali, Jorge Izquierdo, Bertrand Masius",Final
2678,Revised Ethereum Smart Contract Packaging Standard (EthPM v3),"g. nicholas dandrea, Piper Merriam, Nick Gheorghita, Christian Reitwiessner, Ben Hauser, Bryant Eisenbach",Final
1123,Revised Ethereum Smart Contract Packaging Standard,"g. nicholas dandrea, Piper Merriam, Nick Gheorghita, Danny Ryan",Withdrawn
1822,Universal Upgradeable Proxy Standard (UUPS),"Gabriel Barros, Patrick Gallagher",Stagnant
3584,Block Access List,"Gajinder Singh, Piper Merriam",Stagnant
5606,Multiverse NFTs,"Gaurang Torvekar, Khemraj Adhawade, Nikhil Asrani",Review
5625,NFT Metadata JSON Schema dStorage Extension,Gavin Fu,Draft
161,State trie clearing (invariant-preserving alternative),Gavin Wood,Final
4444,Bound Historical Data in Execution Clients,"George Kadianakis, lightclient, Alex Stokes",Draft
1470,Smart Contract Weakness Classification (SWC),Gerhard Wagner,Stagnant
2980,Swiss Compliant Asset Token,"Gianluca Perletti, Alan Scarpellini, Roberto Gorini, Manuel Olivi",Stagnant
2848,My Own Messages (MOM),Giuseppe Bertone,Stagnant
5022,Increase price of SSTORE from zero to non-zero to 40k gas,Green,Stagnant
616,SIMD Operations for the EVM,Greg Colvin,Stagnant
1057,"ProgPoW, a Programmatic Proof-of-Work","Greg Colvin, Andrea Lanfranchi, Michael Carter, IfDefElse",Stagnant
615,Subroutines and Static Jumps for the EVM,"Greg Colvin, Brooklyn Zelenka, Paweł Bylica, Christian Reitwiessner",Stagnant
4573,Procedures for the EVM,"Greg Colvin, Greg Colvin",Stagnant
3779,Safer Control Flow for the EVM,"Greg Colvin, Greg Colvin, Brooklyn Zelenka",Withdrawn
2315,Simple Subroutines for the EVM,"Greg Colvin, Martin Holst Swende, Brooklyn Zelenka, John Max Skaller",Review
2831,Transaction Replacement Message Type,Gregory Markou,Stagnant
3709,Remove Support for Type 1 Transactions,Gregory Markou,Stagnant
3788,Strict enforcement of chainId,Gregory Markou,Stagnant
1890,Commitment to Sustainable Ecosystem Funding,"Gregory Markou, Kevin Owocki, Lane Rettig",Withdrawn
2584,Trie format transition with overlay trees,Guillaume Ballet,Stagnant
3102,Binary trie structure,"Guillaume Ballet, Vitalik Buterin",Draft
4760,SELFDESTRUCT bomb,"Guillaume Ballet, Vitalik Buterin, Dankrad Feist",Stagnant
4762,Statelessness gas cost changes,"Guillaume Ballet, Vitalik Buterin, Dankrad Feist",Stagnant
4758,Deactivate SELFDESTRUCT,"Guillaume Ballet, Vitalik Buterin, Dankrad Feist",Review
2525,ENSLogin,Hadrien Croubois,Stagnant
5143,Slippage Protection for Tokenized Vault,Hadrien Croubois,Draft
5806,Delegate transaction,Hadrien Croubois,Draft
5000,MULDIV instruction,"Harikrishnan Mulackal, Alex Beregszaszi, Paweł Bylica",Draft
3030,BLS Remote Signer HTTP API,Herman Junge,Stagnant
3416,Median Gas Premium,"HexZorro, Mojtaba Tefagh",Stagnant
5633,"Composable Soulbound NFT, EIP-1155 Extension",HonorLabs,Draft
2569,Saving and Displaying Image Onchain for Universal Tokens,"Hua Zhang, Yuefei Tan, Derek Zhou, Ran Xing",Stagnant
6,Renaming SUICIDE opcode,Hudson Jameson,Final
5252,Account-bound Finance,"Hyungsuk Kang, Viktor Pernjek",Draft
1491,Human Cost Accounting Standard (Like Gas but for humans),Iamnot Chris,Stagnant
4955,Vendor Metadata Extension for NFTs,Ignacio Mazzara,Review
1588,Hardfork Meta: Ethereum ProgPoW,Ikmyeong Na,Stagnant
5489,NFT Hyperlink Extension,IronMan_CH,Final
3534,Restricted Chain Context Type Transactions,Isaac Ardis,Stagnant
695,Create `eth_chainId` method for JSON-RPC,"Isaac Ardis, Wei Tang, Fan Torchz, Erik Marks",Final
5554,"NFT Legal Use, Repurposing, and Remixing","Isaac Patka, COALA Licensing Taskforce",Draft
5216,EIP-1155 Approval By Amount Extension,"Ivan Manus, Juan Carlos Canto",Last Call
758,Subscriptions and filters for completed transactions,Jack Peterson,Stagnant
777,Token Standard,"Jacques Dafflon, Jordi Baylina, Thomas Shababi",Final
2390,Geo-ENS,James Choncholas,Stagnant
5218,NFT Rights Management,"James Grimmelmann, Yan Ji, Tyler Kell",Draft
2025,Block Rewards Proposal for funding Eth1.x,James Hancock,Withdrawn
2378,EIPs Eligible for Inclusion,James Hancock,Stagnant
2515,Implement Difficulty Freeze,James Hancock,Stagnant
2657,Ephemeral Testnet Yolo,James Hancock,Stagnant
2387,Hardfork Meta: Muir Glacier,James Hancock,Final
3554,Difficulty Bomb Delay to December 2021,James Hancock,Final
