author_id,mod_name,Full_Name,GitHub_Username,URL,GitHub_Followers,gh_matched_names,EIP_Num1,EIP_Num2,Status,tw_matched_names,extra_in_twitter,extra_in_gh,co_matched_names,extra_in_co
55,,Bradley Leatherwood,,,,,,,,Bradley Leatherwood,"",BOCA Jeabby,Bradley Leatherwood,""
56,,Mark Beylin,,,,,,,,Mark Beylin,"",EL MERSHATI Laith,Mark Beylin,""
57,,Paul Bouchon,,,,,,,,Paul Bouchon,"",KEMP Elia,Paul Bouchon,""
58,antoniosalazarcardozo,Antonio Salazar Cardozo,shadowfiend,https://github.com/shadowfiend,135,Antonio Salazar Cardozo,,,Correct,Antonio Salazar Cardozo,"",Chiro,Antonio Salazar Cardozo,""
59,,g. nicholas d'andrea,,,,,,,,g. nicholas d'andrea,"",Victor Dusart,g. nicholas d?€?andrea,""
60,janturk,Jan Turk,ThunderDeliverer,https://github.com/ThunderDeliverer,11,Jan Turk,,,Correct,Jan Turk,"",RoiV,Jan Turk,""
61,,nitika-goel,,,,,,,,nitika-goel,"",Cristian Espinoza,"",""
62,alexeyakhunov,Alexey Akhunov,AlexeyAkhunov,https://github.com/AlexeyAkhunov,225,Alexey Akhunov,,,Correct,Alexey Akhunov,"",David Huber,"",""
63,alanlu,Alan Lu,cag,https://github.com/cag,65,Alan Lu,,,Correct,Alan Lu,"",and Arran Schlosberg,Alan Lu,""
64,,Witek Radomski,,,,,,,,Witek Radomski,"",Josh Weintraub,Witek Radomski,""
65,petermurray,Peter Murray,yarrumretep,https://github.com/yarrumretep,14,Peter Murray,,,Correct,Peter Murray,"",Jayden Windle,"",""
66,jetlim,Jet Lim,Nitro888,https://github.com/Nitro888,14,Jet Lim,,,Correct,Jet Lim,"",Druzy Downs,"",""
67,,Albert Chon,,,,,,,,Albert Chon,"",Raymond Huynh,Albert Chon,""
68,jimmcdonald,Jim McDonald,mcdee,https://github.com/mcdee,177,Jim McDonald,,,Correct,Jim McDonald,"",Paul Sullivan,Jim McDonald,""
69,,Simon Jentzsch,,,,,,,,Simon Jentzsch,"",David Leung,Simon Jentzsch,""
70,julianorizzo,Juliano Rizzo,juli,https://github.com/juli,49,Juliano Rizzo,,,Correct,Juliano Rizzo,"",Peter Chen,Juliano Rizzo,""
71,zainanvictorzhou,Zainan Victor Zhou,xinbenlv,https://github.com/xinbenlv,137,Zainan Victor Zhou,,,Correct,Zainan Victor Zhou,"",Otniel Nicola,Zainan Victor Zhou,""
72,,Jeff Huang,,,,,,,,Jeff Huang,"",Bogdan Popa,"",""
73,xiaoyuwang,Xiaoyu Wang,wxygeek,https://github.com/wxygeek,176,Xiaoyu Wang,,,Correct,Xiaoyu Wang,"",Pascal Caversaccio,"",""
74,smeargleusedfly,SmeargleUsedFly,SmeargleUsedFly,https://github.com/SmeargleUsedFly,n/a,SmeargleUsedFly,,,Correct,SmeargleUsedFly,"",Mihai Onila,"",""
75,chaitanyapotti,Chaitanya Potti,chaitanyapotti,https://github.com/chaitanyapotti,76,Chaitanya Potti,,,Correct,Chaitanya Potti,"",Nick Zeman,Chaitanya Potti,""
76,franciscogiordano,Francisco Giordano,frangio,https://github.com/frangio,657,Francisco Giordano,,,Correct,Francisco Giordano,"",Narcis Cotaie,Francisco Giordano,""
77,eosclassic,EOS Classic,eosclassicteam,https://github.com/eosclassicteam,n/a,EOS Classic,,,Correct,EOS Classic,"",Qiang Zhu,"",""
78,weitang,Wei Tang,sorpaas,https://github.com/sorpaas,n/a,Wei Tang,,,Correct,Wei Tang,"",Abderrahmen Hanafi,Wei Tang,""
79,,Ben Kaufman,,,,,,,,Ben Kaufman,"",Adam Egyed,Ben Kaufman,""
80,brianventuro,Brian Venturo,atlanticcrypto,https://github.com/atlanticcrypto,4,Brian Venturo,,,Correct,Brian Venturo,"",Fangting Liu,Brian Venturo,""
81,,Kevin Owocki,,,,,,,,Kevin Owocki,"",Thomas Bergmueller,Kevin Owocki,""
82,richardmeissner,Richard Meissner,rmeissner,https://github.com/rmeissner,194,Richard Meissner,,,Correct,Richard Meissner,"",Lukas Meyer,Richard Meissner,""
83,pawelbylica,Pawel Bylica,chfast,https://github.com/chfast,597,Paweł Bylica,,,Correct,Pawel Bylica,"",Glitch,Pawel Bylica,""
84,vittoriominacori,Vittorio Minacori,vittominacori,https://github.com/vittominacori,486,Vittorio Minacori,,,Correct,Vittorio Minacori,"",Jake Moxey,Vittorio Minacori,""
85,johnshiple,John Shiple,johnshiple,https://github.com/johnshiple,n/a,John Shiple,,,Correct,John Shiple,"",Pierre Bertet,John Shiple,""
86,,Maxim Kupriianov,,,,,,,,Maxim Kupriianov,"",Darryl Yeo,"",""
87,gerhardwagner,Gerhard Wagner,thec00n,https://github.com/thec00n,126,Gerhard Wagner,,,Correct,Gerhard Wagner,"",Cheng Liang,Gerhard Wagner,""
88,,Anurag Angara,,,,,,,,Anurag Angara,"",Christopher Gorman,Anurag Angara,""
89,,trustfarm,,,,,,,,trustfarm,"",Carter,"",""
90,iamnotchris,Iamnot Chris,cohabo,https://github.com/cohabo,n/a,Iamnot Chris,,,Correct,Iamnot Chris,"",Lerner,"",""
91,,Kaidong Wu,,,,,,,,Kaidong Wu,"",Cyr,"",""
92,christophmussenbrock,Christoph Mussenbrock,christoph2806,https://github.com/christoph2806,37,Christoph Mussenbrock,,,Correct,Christoph Mussenbrock,"","","",""
93,andrealanfranchi,Andrea Lanfranchi,AndreaLanfranchi,https://github.com/AndreaLanfranchi,66,Andrea Lanfranchi,,,Correct,Andrea Lanfranchi,"","",Andrea Lanfranchi,""
94,michelebalistreri,Michele Balistreri,bitgamma,https://github.com/bitgamma,46,Michele Balistreri,,,Correct,Michele Balistreri,"","","",""
95,ikmyeongna,Ikmyeong Na,naikmyeong,https://github.com/naikmyeong,n/a,Ikmyeong Na,,,Correct,Ikmyeong Na,"","","",""
96,,Cyril Lapinte,,,,,,,,Cyril Lapinte,"","",Cyril Lapinte,""
97,yoavweiss,Yoav Weiss,yoavw,https://github.com/yoavw,60,Yoav Weiss,,,Correct,Yoav Weiss,"","",Yoav Weiss,""
98,0age,0age,0age,https://github.com/0age,690,0age,,,Correct,0age,"","",0age,""
99,paulberg,Paul Berg,PaulRBerg,https://github.com/PaulRBerg,1500,Paul Berg,,,Correct,Paul Berg,"","","",""
100,billyrennekamp,Billy Rennekamp,okwme,https://github.com/okwme,436,Billy Rennekamp,,,Correct,Billy Rennekamp,"","",Billy Rennekamp,""
101,felixjlange,Felix J Lange,fjl,https://github.com/fjl,743,Felix J Lange,,,Correct,Felix J Lange,"","",Felix Lange,""
102,alexforshtat,Alex Forshtat,forshtat,https://github.com/forshtat,20,Alex Forshtat,,,Correct,Alex Forshtat,"","",Alex Forshtat,""
103,brunobarbieri,Bruno Barbieri,brunobar79,https://github.com/brunobar79,249,Bruno Barbieri,,,Correct,Bruno Barbieri,"","",Bruno Barbieri,""
104,lucascullen,Lucas Cullen,BitcoinBrisbane,https://github.com/BitcoinBrisbane,144,Lucas Cullen,,,Correct,Lucas Cullen,"","",Lucas Cullen,""
105,vincenteli,Vincent Eli,Bunjin,https://github.com/Bunjin,82,Vincent Eli,,,Correct,Vincent Eli,"","",Vincent Eli,""
106,,Gabriel Barros,,,,,,,,Gabriel Barros,"","",Gabriel Barros,""
107,dannoferrin,Danno Ferrin,shemnon,https://github.com/shemnon,112,Danno Ferrin,,,Correct,Danno Ferrin,"","",Danno Ferrin,""
108,gregorymarkou,Gregory Markou,GregTheGreek,https://github.com/GregTheGreek,169,Gregory Markou,,,Correct,Gregory Markou,"","",Gregory Markou,""
109,,Alexandre Belling,,,,,,,,Alexandre Belling,"","","",""
110,charlescooper,Charles Cooper,charles-cooper,https://github.com/charles-cooper,189,Charles Cooper,,,Correct,Charles Cooper,"","","",""
111,loredanacirstea,Loredana Cirstea,loredanacirstea,https://github.com/loredanacirstea,245,Loredana Cirstea,,,Correct,Loredana Cirstea,"","",Loredana Cirstea,""
112,shanejonas,Shane Jonas,shanejonas,https://github.com/shanejonas,121,Shane Jonas,,,Correct,Shane Jonas,"","",Shane Jonas,""
113,michaelconnor,Michael Connor,iAmMichaelConnor,https://github.com/iAmMichaelConnor,21,Michael Connor,,,Correct,Michael Connor,"","","",""
114,johannbarbie,Johann Barbie,johannbarbie,https://github.com/johannbarbie,96,Johann Barbie,,,Correct,Johann Barbie,"","","",""
115,alexvlasov,Alex Vlasov,shamatar,https://github.com/shamatar,147,Alex Vlasov,,,Correct,Alex Vlasov,"","",Alex Vlasov,""
116,santiagopalladino,Santiago Palladino,spalladino,https://github.com/spalladino,627,Santiago Palladino,,,Correct,Santiago Palladino,"","",Santiago Palladino,""
117,leeraj,Lee Raj,lerajk,https://github.com/lerajk,54,Lee Raj,,,Correct,Lee Raj,"","",Lee Raj,""
118,,Julio Faura,,,,,,,,Julio Faura,"","",Julio Faura,""
119,,Daniel Lehrner,,,,,,,,Daniel Lehrner,"","",Daniel Lehrner,""
120,pedrogomes,Pedro Gomes,pedrouid,https://github.com/pedrouid,617,Pedro Gomes,,,Correct,Pedro Gomes,"","",Pedro Gomes,""
121,,Fernando Paris,,,,,,,,Fernando Paris,"","","",""
122,jameshancock,James Hancock,MadeofTin,https://github.com/MadeofTin,35,James Hancock,,,Correct,James Hancock,"","","",""
123,adriansutton,Adrian Sutton,ajsutton,https://github.com/ajsutton,156,Adrian Sutton,,,Correct,Adrian Sutton,"","",Adrian Sutton,""
124,johnadler,John Adler,adlerjohn,https://github.com/adlerjohn,297,John Adler,,,Correct,John Adler,"","",John Adler,""
125,,Runchao Han,,,,,,,,Runchao Han,"","","",""
