eip_number,Title,Author,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,author1_id,author2_id,author3_id,author4_id,author5_id,author6_id,author7_id,author8_id,author9_id,author10_id,author11_id,author12_id,author13_id,author14_id,author15_id
747,wallet_watchAsset RPC Method,"Dan Finlay (@danfinlay), Esteban Mino (@estebanmino), Gavin John (@Pandapip1)",Dan Finlay,Esteban Mino,Gavin John,,,,,,,,,,,,,31,304.0,661.0,,,,,,,,,,,,
777,Token Standard,"Jacques Dafflon <[email protected]>, Jordi Baylina <[email protected]>, Thomas Shababi <[email protected]>",Jacques Dafflon,Jordi Baylina,Thomas Shababi,,,,,,,,,,,,,33,36.0,431.0,,,,,,,,,,,,
778,Ethereum Node Records (ENR),Felix Lange <[email protected]>,Felix Lange,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
779,Hardfork Meta: DAO Fork,Casey Detrio (@cdetrio),Casey Detrio,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,
820,Pseudo-introspection Registry Contract,"Jordi Baylina <[email protected]>, Jacques Dafflon <[email protected]>",Jordi Baylina,Jacques Dafflon,,,,,,,,,,,,,,36,33.0,,,,,,,,,,,,,
868,Node Discovery v4 ENR Extension,Felix Lange <[email protected]>,Felix Lange,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
1013,Hardfork Meta: Constantinople,Nick Savers (@nicksavers),Nick Savers,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,
1014,Skinny CREATE2,Vitalik Buterin (@vbuterin),Vitalik Buterin,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
1046,tokenURI Interoperability,"Tommy Nicholas (@tomasienrbc), Matt Russo (@mateosu), John Zettler (@JohnZettler), Matt Condon (@shrugs), Gavin John (@Pandapip1)",Tommy Nicholas,Matt Russo,John Zettler,Matt Condon,Gavin John,,,,,,,,,,,52,311.0,436.0,323.0,661.0,,,,,,,,,,
1052,EXTCODEHASH opcode,"Nick Johnson <[email protected]>, Pawe? Bylica <[email protected]>",Nick Johnson,Pawel Bylica,,,,,,,,,,,,,,10,83.0,,,,,,,,,,,,,
1108,Reduce alt_bn128 precompile gas costs,"Antonio Salazar Cardozo (@shadowfiend), Zachary Williamson (@zac-williamson)",Antonio Salazar Cardozo,Zachary Williamson,,,,,,,,,,,,,,58,314.0,,,,,,,,,,,,,
1155,Multi Token Standard,"Witek Radomski <[email protected]>, Andrew Cooke <[email protected]>, Philippe Castonguay (@phabc) <[email protected]>, James Therien <[email protected]>, Eric Binet <[email protected]>, Ronan Sandford (@wighawag) <[email protected]>",Witek Radomski,Andrew Cooke,Philippe Castonguay,James Therien,Eric Binet,Ronan Sandford,,,,,,,,,,64,315.0,177.0,449.0,517.0,9.0,,,,,,,,,
1167,Minimal Proxy Contract,"Peter Murray (@yarrumretep), Nate Welch (@flygoing), Joe Messerman (@JAMesserman)",Peter Murray,Nate Welch,Joe Messerman,,,,,,,,,,,,,65,316.0,438.0,,,,,,,,,,,,
1193,Ethereum Provider JavaScript API,"Fabian Vogelsteller (@frozeman), Ryan Ghods (@ryanio), Victor Maia (@MaiaVictor), Marc Garreau (@marcgarreau), Erik Marks (@rekmarks)",Fabian Vogelsteller,Ryan Ghods,Victor Maia,Marc Garreau,Erik Marks,,,,,,,,,,,7,318.0,439.0,508.0,167.0,,,,,,,,,,
1234,Constantinople Difficulty Bomb Delay and Block Reward Adjustment,Afri Schoedon (@5chdn),Afri Schoedon,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,
1271,Standard Signature Validation Method for Contracts,"Francisco Giordano (@frangio), Matt Condon (@shrugs), Philippe Castonguay (@PhABC), Amir Bandeali (@abandeali1), Jorge Izquierdo (@izqui), Bertrand Masius (@catageek)",Francisco Giordano,Matt Condon,Philippe Castonguay,Amir Bandeali,Jorge Izquierdo,Bertrand Masius,,,,,,,,,,76,323.0,177.0,509.0,42.0,568.0,,,,,,,,,
1283,Net gas metering for SSTORE without dirty maps,Wei Tang (@sorpaas),Wei Tang,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,
1344,ChainID opcode,"Richard Meissner (@rmeissner), Bryant Eisenbach (@fubuloubu)",Richard Meissner,Bryant Eisenbach,,,,,,,,,,,,,,82,327.0,,,,,,,,,,,,,
1363,Payable Token,Vittorio Minacori (@vittominacori),Vittorio Minacori,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,
1559,Fee market change for ETH 1.0 chain,"Vitalik Buterin (@vbuterin), Eric Conner (@econoar), Rick Dudley (@AFDudley), Matthew Slipper (@mslipper), Ian Norden (@i-norden), Abdelhamid Bakhta (@abdelhamidbakhta)",Vitalik Buterin,Eric Conner,Rick Dudley,Matthew Slipper,Ian Norden,Abdelhamid Bakhta,,,,,,,,,,1,130.0,445.0,513.0,551.0,163.0,,,,,,,,,
1679,Hardfork Meta: Istanbul,"Alex Beregszaszi (@axic), Afri Schoedon (@5chdn)",Alex Beregszaszi,Afri Schoedon,,,,,,,,,,,,,,11,23.0,,,,,,,,,,,,,
1716,Hardfork Meta: Petersburg,"Afri Schoedon (@5chdn), Marius van der Wijden (@MariusVanDerWijden)",Afri Schoedon,Marius Van Der Wijden,,,,,,,,,,,,,,23,226.0,,,,,,,,,,,,,
1820,Pseudo-introspection Registry Contract,"Jordi Baylina <[email protected]>, Jacques Dafflon <[email protected]>",Jordi Baylina,Jacques Dafflon,,,,,,,,,,,,,,36,33.0,,,,,,,,,,,,,
1884,Repricing for trie-size-dependent opcodes,Martin Holst Swende (@holiman),Martin Holst Swende,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
1967,Proxy Storage Slots,"Santiago Palladino (@spalladino), Francisco Giordano (@frangio), Hadrien Croubois (@Amxx)",Santiago Palladino,Francisco Giordano,Hadrien Croubois,,,,,,,,,,,,,116,76.0,138.0,,,,,,,,,,,,
2028,Transaction data gas cost reduction,"Alexey Akhunov (@AlexeyAkhunov), Eli Ben Sasson <[email protected]>, Tom Brand <[email protected]>, Louis Guthmann <[email protected]>, Avihu Levy <[email protected]>",Alexey Akhunov,Eli Ben Sasson,Tom Brand,Louis Guthmann,Avihu Levy,,,,,,,,,,,62,346.0,144.0,353.0,503.0,,,,,,,,,,
2098,Compact Signature Representation,"Richard Moore (@ricmoo), Nick Johnson <[email protected]>",Richard Moore,Nick Johnson,,,,,,,,,,,,,,22,10.0,,,,,,,,,,,,,
